Class	Order	Species	abbriviation	Gene body source	source	BUSCO%	 Mean_GB_CpG 	 lm(TpG~CpG)_Intersect 	 lm(TpG~CpG)_Slope 	 Gaussian_model_name 	mean_repeats_CpG	 repeats_lm(TpG~CpG)_Intersect 	 repeats_lm(TpG~CpG)_Slope 	 repeats_Gaussian_model_name 	genes		repeat_content	genome_size	repeat_content_me	repeat_source	size_note
Anthozoa	Actiniaria	Actinia tenebrosa	Ate	transcriptome	GCF_009602425	98	0.688995991	1.431186106	-0.318025052	 V 2	0.897702564	1.291651012	-0.203860493		Both DNMTs and MBD present		19.57	255	24.84	GCF_009602425.1	
Anthozoa	Actiniaria	Aiptasia pallida	Apa	transcriptome	"Kayal et al., 2018"	92.7	0.711158795	1.416898397	-0.295429994	 V 3 	0.977235147	1.317927341	-0.239122826		Both DNMTs and MBD present		26	260	19.42	GCF_001417965.1	
Anthozoa	Actiniaria	Anthopleura elegantissima	Aele	transcriptome	"Kayal et al., 2018"	97.4	0.677358312	1.466454999	-0.319872787	 V 6 					Both DNMTs and MBD present						
Anthozoa	Actiniaria	Edwardsiella lineata	Eli	transcriptome	"Kayal et al., 2018"	66.5	0.753577326	1.460347435	-0.306024736	 V 3 					Both DNMTs and MBD present						
Anthozoa	Actiniaria	Nematostella vectensis 	Nve	transcriptome	GCA_000209225.1		0.767139687	1.433721959	-0.332393614	 V 3 	0.859289255	1.170999115	-0.085955415		Both DNMTs and MBD present		26	329	31.74	GCF_000209225.1	
Anthozoa	Alcyonacea	Acanthogorgia aspera	Aas	transcriptome	GETB00000000	57.8	0.832956838	1.490162965	-0.311852653	 V 3 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Briareum asbestinum	Bas	transcriptome	GHBD00000000	95.7	0.790608586	1.468434775	-0.339369568	 V 8 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Clavularia sp	Csp	transcriptome	GHAW00000000	89.1	0.815337695	1.53797956	-0.360519531	 V 5 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Corallium rubrum	Cru	transcriptome	"Kayal et al., 2018"	76.4	0.842116728	1.40904768	-0.297313963	 V 9 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Dendronephthya gigantea	Dgi	transcriptome	GCF_004324835	95.4	0.837883939	1.541783696	-0.358641135	 E 3 	1.032334744	1.180476282	-0.036017199		Both DNMTs and MBD present		12	276	40.89	GCF_004324835.1	
Anthozoa	Alcyonacea	Eleutherobia rubra	Eru	transcriptome	GHFI00000000	96.5	0.875713402	1.437242569	-0.309765577	 E 3 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Eunicella cavolinii	Eca	transcriptome	"Kayal et al., 2018"	65.1	0.851127783	1.50057477	-0.33084917	 E 3 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Eunicella verrucosa	Eve	transcriptome	"Kayal et al., 2018"	62.8	0.83681987	1.491758863	-0.330211925	 E 3 					DNMTs absent						
Anthozoa	Alcyonacea	Gorgonia ventalina	Gve	transcriptome	"Kayal et al., 2018"	96.7	0.749238267	1.530151744	-0.353265223	 V 6 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Leptogorgia sarmentosa	Lsa	transcriptome	"Kayal et al., 2018"	61.9	0.848205925	1.506269465	-0.336130396	 E 3 					Both DNMTs and MBD present						
Anthozoa	Alcyonacea	Xenia sp. KK-2018	Xenia	transcriptome	GHBC00000000	95.1	0.794397025	1.53283619	-0.322610367	 E 5 					Both DNMTs and MBD present						
Anthozoa	Corallimorpharia	Corynactis australis	Cau	transcriptome	"Kayal et al., 2018"	96.7	0.805953891	1.402882764	-0.298738603	 V 6 					Both DNMTs and MBD present						
Anthozoa	Corallimorpharia	Rhodactis indosinensis	Rin	transcriptome	"Kayal et al., 2018"	97.2	0.714931378	1.451353087	-0.317260221	 V 6 					Both DNMTs and MBD present						
Anthozoa	Corallimorpharia	Ricordea yuma	Ryu	transcriptome	"Kayal et al., 2018"	93.9	0.716150762	1.503027766	-0.348101536	 V 4 					Both DNMTs and MBD present						
Anthozoa	Helioporacea	Heliopora coerulea	Hco	transcriptome	GFVH00000000	89.7	0.663338189	1.535384536	-0.374209907	 V 6 					Both DNMTs and MBD present						
Anthozoa	Scleractinia	Acropora digitefera	Adi	transcriptome	GCF_000222465.1	81	0.699572641	1.45870836	-0.338496957	 V 4 	0.899419542	1.337614214	-0.240307804		Both DNMTs and MBD present		32	447.48	34.18	GCF_000222465.1	
Anthozoa	Scleractinia	Acropora millepora	Ami	transcriptome	GCF_004143615.1	97.1	0.715146306	1.45490802	-0.336170533	 V 4 	0.908612296	1.305371613	-0.207132581		Both DNMTs and MBD present		35	386.6	34.45	GCF_004143615.1	
Anthozoa	Scleractinia	Ctenactis echinata	Cec	transcriptome	"Kayal et al., 2018"	83	0.640641774	1.477903357	-0.368054684	 V 3 					Both DNMTs and MBD present						
Anthozoa	Scleractinia	Favia lizardensis	Fli	transcriptome	"Kayal et al., 2018"	87.7	0.655781337	1.46140819	-0.352796874	 V 4 					Both DNMTs and MBD present						
